conversationId,messageID,text
10622,101682,Great movie I saw that
10627,101778,thriller or even @149348
10630,101812,Uh @122385
10646,102029,@98088 @165438
10646,102034,@89839  @76177
10764,103529,
10764,103530,
10764,103531,
10764,103532,
10764,103533,
10764,103534,
10764,103535,
10764,103536,
10764,103537,
10764,103538,
10764,103539,
10764,103540,
10764,103541,
10764,103542,
10764,103543,
10764,103544,
10764,103560,
10764,103561,
10764,103562,
10764,103563,
10764,103564,
10764,103565,
10764,103566,
10764,103567,
10764,103568,
10764,103569,
10764,103570,
10764,103571,
10764,103572,
10764,103573,
10764,103574,
10764,103575,
10764,103576,
10764,103577,
10764,103578,
10764,103579,
10764,103580,
10764,103581,
10764,103582,
10764,103583,
10764,103584,
10764,103585,
10764,103586,
10764,103587,
10764,103588,
10764,103589,
10764,103590,
10764,103591,
10764,103592,
10764,103593,
10764,103594,
10764,103595,
10764,103596,
10764,103597,
